PLATFORM_NUMBER,EDMO_CODE
1900054,3839
1900055,3839
1900056,3839
1900057,3844
1900058,3844
1900059,3844
1900060,3844
1900061,3844
1900062,3844
1900063,540
1900064,540
1900065,540
1900066,540
1900067,540
1900068,540
1900069,540
1900070,540
1900071,540
1900072,540
1900073,540
1900074,540
1900075,540
1900076,540
1900077,540
1900078,540
1900079,540
1900080,1054
1900081,1054
1900083,29
1900084,29
1900085,29
1900086,29
1900087,29
1900088,29
1900089,29
1900090,29
1900091,29
1900092,29
1900093,29
1900094,29
1900095,29
1900096,29
1900097,29
1900098,29
1900099,29
1900100,29
1900101,1368
1900102,1368
1900103,1368
1900104,1368
1900105,1368
1900106,1368
1900108,1054
1900109,1054
1900110,1054
1900111,1054
1900112,1054
1900113,1054
1900114,1054
1900116,1054
1900117,1054
1900118,1054
1900119,1054
1900121,3334
1900122,3334
1900123,552
1900124,552
1900125,552
1900126,552
1900127,552
1900128,552
1900129,552
1900130,552
1900131,552
1900132,552
1900133,552
1900134,552
1900135,552
1900136,552
1900137,552
1900138,29
1900139,29
1900140,29
1900141,29
1900142,29
1900143,3839
1900144,3839
1900145,3839
1900146,3839
1900147,3839
1900148,3839
1900149,3839
1900150,3839
1900151,3839
1900152,3839
1900153,3839
1900154,3839
1900155,3839
1900156,3839
1900157,3839
1900158,3839
1900159,3839
1900160,3839
1900161,3839
1900162,3839
1900163,3844
1900164,3844
1900165,3844
1900166,3844
1900167,3844
1900168,3844
1900169,3839
1900170,3839
1900171,3839
1900172,3839
1900173,29
1900174,29
1900175,29
1900176,29
1900177,29
1900178,29
1900179,29
1900180,3839
1900181,3839
1900182,3839
1900183,3839
1900184,3839
1900185,3839
1900186,3839
1900187,3839
1900188,3839
1900189,3839
1900190,3839
1900191,3839
1900192,3839
1900193,3839
1900194,3839
1900195,3839
1900196,3839
1900197,3839
1900198,3839
1900199,3839
1900200,3839
1900201,3844
1900202,3844
1900203,3844
1900204,3844
1900205,540
1900206,540
1900207,540
1900208,540
1900209,540
1900210,540
1900211,540
1900212,540
1900213,540
1900214,540
1900215,540
1900216,540
1900217,540
1900218,540
1900219,540
1900220,540
1900221,540
1900222,540
1900223,540
1900224,552
1900225,2947
1900226,2947
1900227,2947
1900228,2947
1900229,2947
1900230,2947
1900231,2947
1900232,2947
1900233,2947
1900234,2947
1900235,2947
1900236,2947
1900237,2947
1900238,2947
1900239,2947
1900240,3844
1900241,3844
1900242,3844
1900243,3844
1900244,3844
1900245,3844
1900246,3844
1900248,3844
1900249,3844
1900255,3844
1900256,3844
1900257,3844
1900258,3844
1900259,3844
1900260,3844
1900261,3844
1900262,3844
1900263,3844
1900264,3844
1900265,3844
1900266,3839
1900267,3839
1900268,3839
1900269,3839
1900270,3839
1900271,3839
